"","player","salary_rank","salary","roster_number","position","height","weight","birthday","country","experience","college","stat_rank","age","games","games_started","minutes_played","field_goals","field_goal_attempts","field_goal_pct","3_points","3_point_attempts","3_point_pct","2_points","2_point_attempts","2_point_pct","eff_field_goal_pct","free_throws","free_throw_attempts","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","team_name"
"1","Channing Frye",6,7807579,9,"C",83,255,1983-05-17,"us","9","University of Arizona",12,32,26,3,446,71,161,0.441,43,114,0.377,28,47,0.596,0.575,11,14,0.786,12,81,93,26,8,8,13,56,196,"CLE"
"2","Dahntay Jones",15,8819,30,"SF",78,225,1980-12-27,"us","11","Duke University",17,35,1,0,42,6,14,0.429,1,2,0.5,5,12,0.417,0.464,0,0,NA,1,4,5,2,1,2,0,6,13,"CLE"
"3","Iman Shumpert",5,9e+06,4,"SG",77,220,1990-06-26,"us","4","Georgia Institute of Technology",9,25,54,5,1316,114,305,0.374,43,146,0.295,71,159,0.447,0.444,40,51,0.784,32,171,203,92,54,19,57,119,311,"CLE"
"4","James Jones",10,1499000,1,"SF",80,218,1980-10-04,"us","12","University of Miami",11,35,48,0,463,58,142,0.408,41,104,0.394,17,38,0.447,0.553,21,26,0.808,8,42,50,14,11,10,13,50,178,"CLE"
"5","J.R. Smith",7,5e+06,5,"SG",78,225,1985-09-09,"us","11","",3,30,77,77,2362,353,850,0.415,204,510,0.4,149,340,0.438,0.535,45,71,0.634,43,174,217,130,81,21,59,204,955,"CLE"
"6","Kevin Love",2,19500000,0,"PF",82,251,1988-09-07,"us","7","University of California, Los Angeles",2,27,77,77,2424,409,977,0.419,158,439,0.36,251,538,0.467,0.499,258,314,0.822,149,613,762,186,58,41,142,159,1234,"CLE"
"7","Kyrie Irving",3,14746000,2,"PG",75,193,1992-03-23,"au","4","Duke University",6,23,53,53,1667,394,879,0.448,84,262,0.321,310,617,0.502,0.496,169,191,0.885,44,113,157,249,56,18,124,107,1041,"CLE"
"8","LeBron James",1,22971000,23,"SF",80,250,1984-12-30,"us","12","",1,31,76,76,2709,737,1416,0.52,87,282,0.309,650,1134,0.573,0.551,359,491,0.731,111,454,565,514,104,49,249,143,1920,"CLE"
"9","Matthew Dellavedova",13,1147280,8,"PG",76,198,1990-09-08,"au","2","Saint Mary's College of California",5,25,76,14,1867,207,511,0.405,98,239,0.41,109,272,0.401,0.501,57,66,0.864,33,129,162,337,44,9,116,178,569,"CLE"
"10","Mo Williams",9,2100000,52,"PG",73,198,1982-12-19,"us","12","University of Alabama",10,33,41,14,748,132,302,0.437,36,102,0.353,96,200,0.48,0.497,38,42,0.905,6,66,72,98,14,5,57,60,338,"CLE"
"11","Richard Jefferson",11,1499000,24,"SF",79,233,1980-06-21,"us","14","University of Arizona",8,35,74,5,1326,143,312,0.458,66,173,0.382,77,139,0.554,0.564,58,87,0.667,15,113,128,59,33,14,43,129,410,"CLE"
"12","Sasha Kaun",12,1300000,14,"C",83,260,1985-05-08,"ru","R","University of Kansas",16,30,25,0,95,9,17,0.529,0,0,NA,9,17,0.529,0.529,5,11,0.455,12,14,26,3,4,5,7,11,23,"CLE"
"13","Timofey Mozgov",8,4950000,20,"C",85,275,1986-07-16,"ru","5","",7,29,76,48,1326,203,359,0.565,1,7,0.143,202,352,0.574,0.567,68,95,0.716,110,227,337,33,22,57,71,159,475,"CLE"
"14","Tristan Thompson",4,14260870,13,"PF",81,238,1991-03-13,"ca","4","University of Texas at Austin",4,24,82,34,2269,247,420,0.588,0,0,NA,247,420,0.588,0.588,149,242,0.616,268,470,738,62,38,51,61,202,643,"CLE"
"15","Anthony Bennett",14,947276,15,"PF",80,245,1993-03-14,"ca","2","University of Nevada, Las Vegas",15,22,19,0,84,8,27,0.296,3,14,0.214,5,13,0.385,0.352,9,10,0.9,6,17,23,0,5,0,4,8,28,"TOR"
"16","Bismack Biyombo",8,3e+06,8,"C",81,255,1992-08-28,"cd","4","",5,23,82,22,1808,156,288,0.542,0,1,0,156,287,0.544,0.542,142,226,0.628,182,473,655,29,19,133,71,225,454,"TOR"
"17","Bruno Caboclo",12,1524000,20,"SF",81,218,1995-09-21,"br","1","",16,20,6,1,43,1,12,0.083,1,7,0.143,0,5,0,0.125,0,0,NA,1,1,2,1,2,1,4,2,3,"TOR"
"18","Cory Joseph",4,7e+06,6,"SG",75,193,1991-08-20,"ca","4","University of Texas at Austin",3,24,80,4,2046,257,585,0.439,30,110,0.273,227,475,0.478,0.465,133,174,0.764,39,171,210,250,63,20,102,131,677,"TOR"
"19","Delon Wright",13,1509360,55,"PG",77,183,1992-04-26,"us","R","University of Utah",13,23,27,1,229,36,80,0.45,5,13,0.385,31,67,0.463,0.481,26,35,0.743,8,29,37,31,8,3,16,7,103,"TOR"
"20","DeMar DeRozan",3,9500000,10,"SG",79,221,1989-08-07,"us","6","University of Southern California",2,26,78,78,2804,614,1377,0.446,47,139,0.338,567,1238,0.458,0.463,555,653,0.85,64,285,349,315,81,21,175,167,1830,"TOR"
"21","DeMarre Carroll",1,13500000,5,"SF",80,215,1986-07-27,"us","6","University of Missouri",10,29,26,22,786,105,270,0.389,46,118,0.39,59,152,0.388,0.474,30,50,0.6,31,91,122,27,44,6,28,63,286,"TOR"
"22","James Johnson",10,2500000,3,"PF",81,250,1987-02-20,"us","6","Wake Forest University",9,28,57,32,926,114,240,0.475,20,66,0.303,94,174,0.54,0.517,39,68,0.574,28,98,126,67,29,33,54,84,287,"TOR"
"23","Jonas Valanciunas",6,4660482,17,"C",84,265,1992-05-06,"lt","3","",8,23,60,59,1557,303,536,0.565,0,0,NA,303,536,0.565,0.565,162,213,0.761,184,363,547,42,25,80,85,158,768,"TOR"
"24","Kyle Lowry",2,1.2e+07,7,"PG",73,196,1986-03-25,"us","9","Villanova University",1,29,77,77,2851,512,1198,0.427,212,547,0.388,300,651,0.461,0.516,398,491,0.811,55,310,365,494,158,34,225,211,1634,"TOR"
"25","Lucas Nogueira",11,1842000,92,"C",84,241,1992-07-26,"br","1","",14,23,29,1,225,28,44,0.636,1,3,0.333,27,41,0.659,0.648,8,15,0.533,18,28,46,7,12,12,11,29,65,"TOR"
"26","Luis Scola",9,3e+06,4,"PF",81,240,1980-04-30,"ar","8","",7,35,76,76,1636,269,598,0.45,65,161,0.404,204,437,0.467,0.504,61,84,0.726,84,276,360,66,46,27,68,178,664,"TOR"
"27","Norman Powell",15,650000,24,"SG",76,215,1993-05-25,"us","R","University of California, Los Angeles",11,22,49,24,725,97,229,0.424,36,89,0.404,61,140,0.436,0.502,43,53,0.811,16,95,111,47,29,10,32,59,273,"TOR"
"28","Patrick Patterson",5,6268675,54,"PF",81,230,1989-03-14,"us","5","University of Kentucky",4,26,79,0,2020,204,493,0.414,106,293,0.362,98,200,0.49,0.521,29,34,0.853,77,265,342,94,53,32,65,128,543,"TOR"
"29","Terrence Ross",7,3553917,31,"SF",79,206,1991-02-05,"us","3","University of Washington",6,24,73,7,1747,270,626,0.431,131,339,0.386,139,287,0.484,0.536,49,62,0.79,21,164,185,56,54,25,46,120,720,"TOR"
"30","Amar'e Stoudemire",9,1499187,5,"C",82,245,1982-11-16,"us","13","",11,33,52,36,762,125,221,0.566,0,0,NA,125,221,0.566,0.566,50,67,0.746,65,157,222,27,18,41,47,92,300,"MIA"
"31","Beno Udrih",8,2170465,19,"PG",75,205,1982-07-05,"si","11","",13,33,36,5,587,66,152,0.434,11,33,0.333,55,119,0.462,0.47,15,17,0.882,6,57,63,90,11,0,42,40,158,"MIA"
"32","Chris Bosh",1,22192730,1,"PF",83,235,1984-03-24,"us","12","Georgia Institute of Technology",6,31,53,53,1778,358,767,0.467,81,222,0.365,277,545,0.508,0.52,213,268,0.795,48,342,390,128,36,34,78,101,1010,"MIA"
"33","Dwyane Wade",2,2e+07,3,"SG",76,220,1982-01-17,"us","12","Marquette University",3,34,74,73,2258,540,1183,0.456,7,44,0.159,533,1139,0.468,0.459,322,406,0.793,82,220,302,344,79,42,203,116,1409,"MIA"
"34","Gerald Green",10,1356000,14,"SG",79,205,1986-01-26,"us","8","",7,30,69,14,1557,230,587,0.392,84,260,0.323,146,327,0.446,0.463,72,92,0.783,25,138,163,56,38,19,46,123,616,"MIA"
"35","Goran Dragic",3,14780000,7,"PG",75,190,1986-05-06,"si","7","",2,29,72,72,2363,417,875,0.477,64,205,0.312,353,670,0.527,0.513,120,165,0.727,54,223,277,419,71,17,185,188,1018,"MIA"
"36","Hassan Whiteside",11,981348,21,"C",84,265,1989-06-13,"us","3","Marshall University",5,26,73,43,2125,413,682,0.606,0,0,NA,413,682,0.606,0.606,214,329,0.65,238,627,865,30,44,269,137,201,1040,"MIA"
"37","Josh McRoberts",5,5543725,4,"PF",82,240,1987-02-28,"us","8","Duke University",12,28,42,1,595,55,148,0.372,12,49,0.245,43,99,0.434,0.412,28,40,0.7,22,83,105,81,18,7,30,68,150,"MIA"
"38","Josh Richardson",13,525093,0,"SG",78,200,1993-09-15,"us","R","University of Tennessee",8,22,52,2,1107,123,272,0.452,53,115,0.461,70,157,0.446,0.55,42,63,0.667,21,86,107,73,36,25,35,107,341,"MIA"
"39","Justise Winslow",7,2481720,20,"SF",79,225,1996-03-26,"us","R","Duke University",4,19,78,8,2232,195,462,0.422,32,116,0.276,163,346,0.471,0.457,80,117,0.684,81,322,403,117,68,26,95,184,502,"MIA"
"40","Luol Deng",4,10151612,9,"PF",81,220,1985-04-16,"ss","11","Duke University",1,30,74,73,2394,339,745,0.455,88,256,0.344,251,489,0.513,0.514,145,192,0.755,108,335,443,140,74,29,81,122,911,"MIA"
"41","Tyler Johnson",12,845059,8,"SG",76,186,1992-05-07,"us","1","California State University, Fresno",9,23,36,5,863,118,243,0.486,27,71,0.38,91,172,0.529,0.541,51,64,0.797,28,81,109,79,24,14,47,66,314,"MIA"
"42","Udonis Haslem",6,2854940,40,"PF",80,235,1980-06-09,"us","12","University of Florida",14,35,37,0,260,23,61,0.377,1,9,0.111,22,52,0.423,0.385,12,16,0.75,10,65,75,14,5,2,5,25,59,"MIA"
"43","Al Horford",2,1.2e+07,15,"C",82,245,1986-06-03,"do","8","University of Florida",2,29,82,82,2631,529,1048,0.505,88,256,0.344,441,792,0.557,0.547,103,129,0.798,148,448,596,263,68,121,107,163,1249,"ATL"
"44","Dennis Schroder",10,1763400,17,"PG",73,172,1993-09-15,"de","2","",7,22,80,6,1621,329,781,0.421,77,239,0.322,252,542,0.465,0.471,144,182,0.791,25,179,204,349,70,9,183,138,879,"ATL"
"45","Jeff Teague",4,8e+06,0,"PG",74,186,1988-06-10,"us","6","Wake Forest University",4,27,79,78,2255,434,988,0.439,110,275,0.4,324,713,0.454,0.495,261,312,0.837,33,181,214,470,97,24,218,167,1239,"ATL"
"46","Kent Bazemore",9,2e+06,24,"SF",77,201,1989-07-01,"us","3","Old Dominion University",5,26,75,68,2083,320,725,0.441,109,305,0.357,211,420,0.502,0.517,123,151,0.815,28,351,379,171,98,38,138,176,872,"ATL"
"47","Kirk Hinrich",8,2870000,12,"PG",76,190,1981-01-02,"us","12","University of Kansas",16,35,11,0,76,2,11,0.182,1,6,0.167,1,5,0.2,0.227,0,0,NA,1,11,12,14,2,1,3,1,5,"ATL"
"48","Kyle Korver",5,5746479,26,"SG",79,212,1981-03-17,"us","12","Creighton University",3,34,80,80,2401,268,616,0.435,158,397,0.398,110,219,0.502,0.563,45,54,0.833,14,246,260,164,60,35,98,161,739,"ATL"
"49","Lamar Patterson",14,525093,13,"SG",77,225,1991-08-12,"us","R","University of Pittsburgh",12,24,35,0,395,28,80,0.35,12,49,0.245,16,31,0.516,0.425,16,22,0.727,4,46,50,39,9,2,23,45,84,"ATL"
"50","Mike Muscala",13,947276,31,"C",83,240,1991-07-01,"us","2","Bucknell University",11,24,60,0,565,76,152,0.5,12,39,0.308,64,113,0.566,0.539,31,39,0.795,38,79,117,34,13,27,27,72,195,"ATL"
"51","Mike Scott",7,3333333,32,"PF",80,237,1988-07-16,"us","3","University of Virginia",8,27,75,0,1146,176,376,0.468,62,158,0.392,114,218,0.523,0.551,50,63,0.794,53,153,206,78,25,17,42,102,464,"ATL"
"52","Paul Millsap",1,1.9e+07,4,"PF",80,246,1985-02-10,"us","9","Louisiana Tech University",1,30,81,81,2647,501,1066,0.47,74,232,0.319,427,834,0.512,0.505,309,408,0.757,198,534,732,265,147,139,191,237,1385,"ATL"
"53","Thabo Sefolosha",6,4e+06,25,"SF",79,220,1984-05-02,"ch","9","",6,31,75,11,1758,188,372,0.505,42,124,0.339,146,248,0.589,0.562,62,99,0.626,52,282,334,107,85,37,68,109,480,"ATL"
"54","Tiago Splitter",3,8500000,11,"C",83,245,1985-01-01,"br","5","",10,31,36,2,579,81,155,0.523,0,2,0,81,153,0.529,0.523,39,48,0.813,45,75,120,30,20,12,24,71,201,"ATL"
"55","Tim Hardaway",11,1304520,10,"SG",78,205,1992-03-16,"us","2","University of Michigan",9,23,51,1,864,114,265,0.43,48,142,0.338,66,123,0.537,0.521,50,56,0.893,7,79,86,51,21,7,23,48,326,"ATL"
"56","Walter Tavares",12,1e+06,22,"C",87,260,1992-03-22,"cv","R","",17,23,11,0,73,11,19,0.579,0,0,NA,11,19,0.579,0.579,3,8,0.375,7,14,21,3,1,6,5,8,25,"ATL"
"57","Amir Johnson",2,1.2e+07,90,"PF",81,240,1987-05-01,"us","10","",6,28,79,76,1800,249,426,0.585,10,43,0.233,239,383,0.624,0.596,69,121,0.57,178,327,505,138,52,83,94,214,577,"BOS"
"58","Avery Bradley",3,7730337,0,"SG",74,180,1990-11-26,"us","5","University of Texas at Austin",2,25,76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155,"BOS"
"59","Coty Clarke",18,61776,63,"SF",79,232,1992-07-04,"us","R","University of Arkansas",16,23,3,0,6,2,4,0.5,2,2,1,0,2,0,0.75,0,0,NA,0,1,1,0,0,0,1,0,6,"BOS"
"60","Evan Turner",8,3425510,11,"SG",79,220,1988-10-27,"us","5","Ohio State University",4,27,81,12,2271,343,753,0.456,20,83,0.241,323,670,0.482,0.469,148,179,0.827,50,347,397,359,80,28,169,139,854,"BOS"
"61","Isaiah Thomas",4,6912869,4,"PG",69,185,1989-02-07,"us","4","University of Washington",1,26,82,79,2644,591,1382,0.428,167,465,0.359,424,917,0.462,0.488,474,544,0.871,46,197,243,509,91,9,220,167,1823,"BOS"
"62","Jae Crowder",5,6e+06,99,"SF",78,235,1990-07-06,"us","3","Marquette University",3,25,73,73,2308,360,813,0.443,122,363,0.336,238,450,0.529,0.518,196,239,0.82,70,303,373,135,126,35,83,198,1038,"BOS"
"63","James Young",15,1749840,13,"SG",78,215,1995-08-16,"us","1","University of Kentucky",14,20,29,0,199,11,36,0.306,6,26,0.231,5,10,0.5,0.389,1,4,0.25,4,22,26,9,6,1,5,17,29,"BOS"
"64","Jared Sullinger",10,2269260,7,"PF",81,260,1992-03-04,"us","3","Ohio State University",5,23,81,73,1915,351,806,0.435,29,103,0.282,322,703,0.458,0.453,103,161,0.64,194,479,673,187,75,47,102,209,834,"BOS"
"65","Jonas Jerebko",6,5e+06,8,"PF",82,231,1987-03-02,"se","5","",9,28,78,0,1176,118,286,0.413,43,108,0.398,75,178,0.421,0.488,61,78,0.782,77,211,288,62,20,24,52,137,340,"BOS"
"66","Jordan Mickey",16,1200000,55,"PF",80,235,1994-07-09,"us","R","Louisiana State University",15,21,16,0,57,8,22,0.364,0,0,NA,8,22,0.364,0.364,5,10,0.5,6,7,13,1,0,11,1,5,21,"BOS"
"67","Kelly Olynyk",11,2165160,41,"C",84,238,1991-04-19,"ca","2","Gonzaga University",8,24,69,8,1395,253,556,0.455,85,210,0.405,168,346,0.486,0.531,96,128,0.75,72,209,281,105,52,33,74,163,687,"BOS"
"68","Marcus Smart",7,3431040,36,"PG",76,220,1994-03-06,"us","1","Oklahoma State University",7,21,61,10,1667,184,529,0.348,61,241,0.253,123,288,0.427,0.405,129,166,0.777,76,179,255,185,91,18,80,183,558,"BOS"
"69","R.J. Hunter",17,1148640,28,"SG",77,185,1993-10-24,"us","R","Georgia State University",12,22,36,0,315,36,98,0.367,19,63,0.302,17,35,0.486,0.464,6,7,0.857,2,35,37,13,14,4,11,29,97,"BOS"
"70","Terry Rozier",14,1824360,12,"PG",74,190,1994-03-17,"us","R","University of Louisville",13,21,39,0,311,29,106,0.274,6,27,0.222,23,79,0.291,0.302,8,10,0.8,24,39,63,37,6,1,19,23,72,"BOS"
"71","Tyler Zeller",9,2616975,44,"C",84,253,1990-01-17,"us","3","University of North Carolina",10,26,60,3,710,138,290,0.476,0,0,NA,138,290,0.476,0.476,88,108,0.815,62,116,178,29,10,22,46,97,364,"BOS"
"72","Aaron Harrison",14,525093,9,"SG",78,210,1994-10-28,"us","R","University of Kentucky",16,21,21,0,93,5,19,0.263,3,10,0.3,2,9,0.222,0.342,5,12,0.417,4,11,15,2,6,0,4,10,18,"CHO"
"73","Al Jefferson",1,13833333,25,"C",82,289,1985-01-04,"us","11","",8,31,47,18,1096,245,505,0.485,0,0,NA,245,505,0.485,0.485,72,111,0.649,57,244,301,70,30,41,34,117,562,"CHO"
"74","Cody Zeller",8,4204200,40,"C",84,240,1992-10-05,"us","2","Indiana University",5,23,73,60,1774,231,437,0.529,1,10,0.1,230,427,0.539,0.53,175,232,0.754,138,317,455,71,57,63,68,204,638,"CHO"
"75","Courtney Lee",6,5675000,1,"SG",77,200,1985-10-03,"us","7","Western Kentucky University",11,30,28,28,845,98,220,0.445,31,79,0.392,67,141,0.475,0.516,23,26,0.885,10,77,87,60,33,12,23,55,250,"CHO"
"76","Frank Kaminsky",10,2612500,44,"C",84,242,1993-04-04,"us","R","University of Wisconsin",6,22,81,3,1708,215,525,0.41,68,202,0.337,147,323,0.455,0.474,108,148,0.73,69,266,335,98,38,43,58,126,606,"CHO"
"77","Jeremy Lamb",9,3034356,3,"SG",77,185,1992-05-30,"us","3","University of Connecticut",7,23,66,0,1227,230,510,0.451,56,181,0.309,174,329,0.529,0.506,64,88,0.727,44,208,252,77,42,30,50,105,580,"CHO"
"78","Jeremy Lin",11,2100000,7,"SG",75,200,1988-08-23,"us","5","Harvard University",4,27,78,13,2048,300,728,0.412,76,226,0.336,224,502,0.446,0.464,238,292,0.815,42,211,253,235,58,42,150,165,914,"CHO"
"79","Jorge Gutierrez",15,301444,12,"PG",75,191,1988-12-27,"mx","2","University of California",17,27,12,0,63,6,11,0.545,0,2,0,6,9,0.667,0.545,10,11,0.909,0,7,7,17,3,0,6,3,22,"CHO"
"80","Kemba Walker",3,1.2e+07,15,"PG",73,172,1990-05-08,"us","4","University of Connecticut",1,25,81,81,2885,568,1331,0.427,182,490,0.371,386,841,0.459,0.495,371,438,0.847,56,301,357,421,126,39,171,111,1689,"CHO"
"81","Marvin Williams",4,7e+06,2,"PF",81,237,1986-06-19,"us","10","University of North Carolina",3,29,81,81,2338,338,747,0.452,152,378,0.402,186,369,0.504,0.554,120,144,0.833,127,394,521,110,58,77,62,133,948,"CHO"
"82","Michael Kidd-Gilchrist",5,6331404,14,"SF",79,232,1993-09-26,"us","3","University of Kentucky",15,22,7,7,205,33,61,0.541,3,7,0.429,30,54,0.556,0.566,20,29,0.69,12,33,45,9,3,3,8,9,89,"CHO"
"83","Nicolas Batum",2,12235750,5,"SF",80,200,1988-12-14,"fr","7","",2,27,70,70,2448,372,873,0.426,139,399,0.348,233,474,0.492,0.506,163,192,0.849,55,373,428,403,65,43,205,114,1046,"CHO"
"84","Spencer Hawes",7,5543725,0,"PF",85,245,1988-04-28,"us","8","University of Washington",9,27,57,6,1035,124,306,0.405,38,102,0.373,86,204,0.422,0.467,54,65,0.831,51,193,244,109,22,27,58,111,340,"CHO"
"85","Troy Daniels",13,947276,30,"SG",76,205,1991-07-15,"us","2","Virginia Commonwealth University",12,24,43,0,476,89,187,0.476,59,122,0.484,30,65,0.462,0.634,5,9,0.556,7,50,57,21,11,3,24,40,242,"CHO"
"86","Tyler Hansbrough",12,1185784,50,"PF",81,250,1985-11-03,"us","6","University of North Carolina",13,30,44,0,343,32,71,0.451,2,3,0.667,30,68,0.441,0.465,38,65,0.585,40,49,89,8,12,7,12,55,104,"CHO"
"87","C.J. Miles",6,4394225,0,"SF",78,225,1987-04-18,"us","10","",7,28,64,24,1464,259,634,0.409,142,387,0.367,117,247,0.474,0.521,93,124,0.75,25,150,175,63,53,29,70,142,753,"IND"
"88","George Hill",3,8e+06,3,"PG",75,188,1986-05-04,"us","7","Indiana University-Purdue University Indianapolis",3,29,74,73,2524,326,739,0.441,128,314,0.408,198,425,0.466,0.528,114,150,0.76,58,240,298,259,83,17,101,149,894,"IND"
"89","Glenn Robinson",15,845000,40,"SF",78,222,1994-01-08,"us","1","University of Michigan",12,22,45,4,508,65,151,0.43,14,37,0.378,51,114,0.447,0.477,27,39,0.692,12,56,68,26,17,9,18,21,171,"IND"
"90","Ian Mahinmi",8,4e+06,28,"C",83,250,1986-11-05,"fr","7","",4,29,71,71,1816,264,448,0.589,0,0,NA,264,448,0.589,0.589,132,225,0.587,138,369,507,104,65,75,100,220,660,"IND"
"91","Jordan Hill",7,4e+06,27,"C",82,235,1987-07-27,"us","6","University of Arizona",6,28,73,11,1513,278,549,0.506,0,1,0,278,548,0.507,0.506,89,125,0.712,156,295,451,87,36,37,92,155,645,"IND"
"92","Lavoy Allen",9,3700000,5,"PF",81,260,1989-02-04,"us","4","Temple University",5,26,79,28,1599,191,370,0.516,0,0,NA,191,370,0.516,0.516,46,73,0.63,162,262,424,76,26,42,69,147,428,"IND"
"93","Monta Ellis",2,10300000,11,"SG",75,185,1985-10-26,"us","10","",2,30,81,81,2734,436,1021,0.427,87,282,0.309,349,739,0.472,0.47,162,206,0.786,42,229,271,383,150,37,203,174,1121,"IND"
"94","Myles Turner",10,2357760,33,"C",83,243,1996-03-24,"us","R","University of Texas at Austin",8,19,60,30,1367,264,530,0.498,3,14,0.214,261,516,0.506,0.501,88,121,0.727,68,264,332,41,25,86,67,158,619,"IND"
"95","Paul George",1,17120106,13,"SF",81,220,1990-05-02,"us","5","California State University, Fresno",1,25,81,81,2819,605,1449,0.418,210,566,0.371,395,883,0.447,0.49,454,528,0.86,79,484,563,329,152,29,265,230,1874,"IND"
"96","Rakeem Christmas",12,1e+06,25,"PF",81,250,1991-12-01,"us","R","Syracuse University",16,24,1,0,6,2,2,1,0,0,NA,2,2,1,1,0,0,NA,1,0,1,0,0,0,0,1,4,"IND"
"97","Rodney Stuckey",4,6500000,2,"PG",77,210,1986-04-21,"us","8","Eastern Washington University",9,29,58,1,1275,183,443,0.413,20,83,0.241,163,360,0.453,0.436,131,158,0.829,19,137,156,142,43,8,76,77,517,"IND"
"98","Shayne Whittington",14,845059,42,"PF",83,250,1991-03-27,"us","1","Western Michigan University",15,24,7,0,41,5,11,0.455,0,2,0,5,9,0.556,0.455,1,2,0.5,5,7,12,3,1,1,5,7,11,"IND"
"99","Solomon Hill",11,1358880,44,"SF",79,225,1991-03-18,"us","2","University of Arizona",10,24,59,3,866,93,208,0.447,24,74,0.324,69,134,0.515,0.505,36,42,0.857,39,127,166,57,37,11,33,68,246,"IND"
"100","Andre Drummond",7,3272091,0,"C",83,279,1993-08-10,"us","3","University of Connecticut",3,22,81,81,2666,552,1060,0.521,2,6,0.333,550,1054,0.522,0.522,208,586,0.355,395,803,1198,67,119,112,155,245,1314,"DET"
"101","Anthony Tolliver",8,3e+06,43,"PF",80,240,1985-06-01,"us","7","Creighton University",7,30,72,5,1341,128,332,0.386,98,272,0.36,30,60,0.5,0.533,29,47,0.617,39,190,229,52,26,16,28,86,383,"DET"
"102","Aron Baynes",3,6500000,12,"C",82,260,1986-12-09,"nz","3","Washington State University",8,29,81,1,1233,194,384,0.505,0,2,0,194,382,0.508,0.505,126,165,0.764,140,244,384,51,21,52,67,151,514,"DET"
"103","Darrun Hilliard",17,525093,6,"SG",78,205,1993-04-13,"us","R","Villanova University",13,22,38,2,383,52,131,0.397,19,50,0.38,33,81,0.407,0.469,29,40,0.725,5,40,45,27,9,1,19,28,152,"DET"
"104","Jodie Meeks",4,6270000,20,"SG",76,210,1987-08-21,"us","6","University of Kentucky",16,28,3,0,43,7,20,0.35,4,9,0.444,3,11,0.273,0.45,4,4,1,1,4,5,3,0,0,1,2,22,"DET"
"105","Joel Anthony",11,2500000,50,"C",81,245,1982-08-09,"ca","8","University of Nevada, Las Vegas",15,33,19,0,96,6,10,0.6,0,0,NA,6,10,0.6,0.6,6,8,0.75,8,13,21,1,2,12,2,15,18,"DET"
"106","Justin Harper",20,99418,32,"PF",82,225,1989-08-30,"us","1","University of Richmond",17,26,5,0,35,4,10,0.4,4,9,0.444,0,1,0,0.6,1,2,0.5,0,1,1,0,1,0,2,3,13,"DET"
"107","Kentavious Caldwell-Pope",9,2891760,5,"SG",77,205,1993-02-18,"us","2","University of Georgia",2,22,76,76,2789,403,960,0.42,114,369,0.309,289,591,0.489,0.479,185,228,0.811,70,212,282,138,110,17,105,167,1105,"DET"
"108","Marcus Morris",6,5e+06,13,"SF",81,235,1989-09-02,"us","4","University of Kansas",1,26,80,80,2856,410,945,0.434,108,298,0.362,302,647,0.467,0.491,203,271,0.749,91,313,404,201,67,23,140,170,1131,"DET"
"109","Reggie Bullock",15,1252440,25,"SF",79,205,1991-03-16,"us","2","University of North Carolina",11,24,37,0,429,43,98,0.439,22,53,0.415,21,45,0.467,0.551,14,15,0.933,14,54,68,27,10,2,8,29,122,"DET"
"110","Reggie Jackson",2,1.4e+07,1,"PG",75,208,1990-04-16,"it","4","Boston College",4,25,79,79,2424,540,1244,0.434,118,334,0.353,422,910,0.464,0.482,291,337,0.864,58,195,253,492,59,11,223,187,1489,"DET"
